"","Measurement","Well","Group","Time","OCR","ECAR","PPR","Date"
"7",1,"A07","SC01BasalGlyco",1,94.51351134,16.75603938,27.12467655,"20150712"
"8",1,"A08","SC01BasalGlyco",1,112.9410873,17.29276201,27.99352314,"20150712"
"9",1,"A09","SC01BasalGlyco",1,82.30237139,9.948514412,16.10465513,"20150712"
"10",1,"A10","SC01BasalGlyco",1,86.36460796,18.32260607,29.66063471,"20150712"
"11",1,"A11","SC01BasalGlyco",1,113.000129,15.72078613,25.44880859,"20150712"
"19",1,"B07","SC07BasalGlyco",1,225.6937537,53.92487018,87.29357985,"20150712"
"20",1,"B08","SC07BasalGlyco",1,191.7214207,61.77839182,100.0068607,"20150712"
"21",1,"B09","SC07BasalGlyco",1,248.6256446,62.57916208,101.3031476,"20150712"
"22",1,"B10","SC07BasalGlyco",1,237.1393844,65.10485453,105.3917385,"20150712"
"23",1,"B11","SC07BasalGlyco",1,262.8893059,65.80789956,106.5298278,"20150712"
"24",1,"B12","SC07BasalGlyco",1,215.4170859,50.01077236,80.9574383,"20150712"
"31",1,"C07","SC10BasalGlyco",1,185.6509671,54.11943998,87.60854944,"20150712"
"32",1,"C08","SC10BasalGlyco",1,224.7660753,63.25534212,102.3977478,"20150712"
"33",1,"C09","SC10BasalGlyco",1,194.598813,55.17854343,89.3230261,"20150712"
"34",1,"C10","SC10BasalGlyco",1,234.1297608,62.78562389,101.637368,"20150712"
"35",1,"C11","SC10BasalGlyco",1,224.4671657,61.08873042,98.89043681,"20150712"
"36",1,"C12","SC10BasalGlyco",1,214.9647964,50.53036829,81.79856018,"20150712"
"55",1,"E07","SC01BasalMito",1,105.4566837,52.00927058,84.19260722,"20150712"
"56",1,"E08","SC01BasalMito",1,117.7912013,56.71409043,91.80876958,"20150712"
"57",1,"E09","SC01BasalMito",1,128.8920083,59.42680152,96.2001063,"20150712"
"58",1,"E10","SC01BasalMito",1,114.3700914,59.01681673,95.53642293,"20150712"
"59",1,"E11","SC01BasalMito",1,116.3739159,56.16651107,90.92234812,"20150712"
"60",1,"E12","SC01BasalMito",1,82.19576887,36.29541949,58.75502508,"20150712"
"67",1,"F07","SC07BasalMito",1,252.9134402,75.69775127,122.5395198,"20150712"
"68",1,"F08","SC07BasalMito",1,256.3582525,70.59869626,114.2851695,"20150712"
"69",1,"F09","SC07BasalMito",1,265.2004108,76.2576802,123.4459327,"20150712"
"70",1,"F10","SC07BasalMito",1,196.4171774,74.15870292,120.0481083,"20150712"
"71",1,"F11","SC07BasalMito",1,222.4633072,82.48914493,133.5334278,"20150712"
"72",1,"F12","SC07BasalMito",1,169.4852848,84.44832395,136.7049468,"20150712"
"79",1,"G07","SC10BasalMito",1,140.0382941,61.45464474,99.4827789,"20150712"
"80",1,"G08","SC10BasalMito",1,160.0157113,66.56258608,107.7515143,"20150712"
